,Name,Price,Location,Year,Mileage,Fuel_Type,Engine_Capacity,Transmission
4302,Daihatsu Mira  2022 G SA III for Sale,Call,Karachi,2022,"6,300 km",Petrol,660 cc,Automatic
4303,Honda City 5th (GM2) Generation 2012 1.3 i-VTEC for Sale,PKR 26 lacs,Islamabad,2012,"216,050 km",Petrol,1300 cc,Manual
4304,Daihatsu Move  2014 Custom X for Sale,PKR 25.5 lacs,Rawalpindi,2014,"174,511 km",Petrol,660 cc,Automatic
4305,Daihatsu Rocky  2019 1.0 R TC for Sale,PKR 51.5 lacs,Islamabad,2019,"83,685 km",Petrol,1000 cc,Automatic
4306,Suzuki Mehran  2010 VXR for Sale,PKR 7 lacs,Rawalpindi,2010,"73,964 km",Petrol,800 cc,Manual
4307,Isuzu D-Max  2022 V-Cross Automatic 3.0 for Sale,PKR 1.06 crore,Islamabad,2022,"23,969 km",Diesel,3000 cc,Automatic
4308,Honda Civic Reborn 2009 VTi Oriel 1.8 i-VTEC for Sale,PKR 40 lacs,Rawalpindi,2009,"83,621 km",Petrol,1800 cc,Manual
4309,Toyota Corolla  2015 Altis Grande CVT-i 1.8 for Sale,PKR 42 lacs,Islamabad,2015,"201,534 km",Petrol,1800 cc,Automatic
4310,Haval H6  2024 HEV for Sale,PKR 1.2 crore,Islamabad,2024,"29,264 km",Hybrid,1500 cc,Automatic
4311,Honda Vezel  2015 Hybrid Z Style Edition for Sale,PKR 49.99 lacs,Rawalpindi,2015,"172,822 km",Hybrid,1500 cc,Automatic
4312,Toyota Yaris Hatchback  2022  for Sale,PKR 42.85 lacs,Karachi,2022,"75,000 km",Petrol,1000 cc,Automatic
4313,Honda City 5th (GM2) Generation 2013 1.3 i-VTEC Prosmatec for Sale,PKR 31 lacs,Lahore,2013,"121,000 km",Petrol,1300 cc,Automatic
4314,Toyota Yaris Sedan  2021 ATIV CVT 1.3 for Sale,PKR 39 lacs,Karachi,2021,"40,800 km",Petrol,1300 cc,Automatic
4315,Toyota Corolla  2010 GLi 1.3 VVTi for Sale,PKR 25 lacs,Nowshera,2010,"150,000 km",Petrol,1300 cc,Manual
4316,Suzuki Alto  2018 Works Edition for Sale,PKR 19.65 lacs,Lahore,2018,"33,000 km",Petrol,658 cc,Automatic
4317,Suzuki Bolan  2009 GL for Sale,PKR 7.1 lacs,Karachi,2009,"250,000 km",Petrol,800 cc,Manual
4318,Daihatsu Mira  2021 X SA lll for Sale,PKR 34 lacs,Karachi,2021,"11,000 km",Petrol,660 cc,Automatic
4319,Suzuki Mehran  2013 VX Euro II for Sale,PKR 10.8 lacs,Rawalpindi,2013,"54,000 km",Petrol,796 cc,Manual
4320,Honda City 5th (GM2) Generation 2020 Aspire Prosmatec 1.5 i-VTEC for Sale,PKR 44 lacs,Islamabad,2020,"77,000 km",Petrol,1500 cc,Automatic
4321,Suzuki Cultus  2006 VXR (CNG) for Sale,PKR 9.8 lacs,Attock,2006,"77,000 km",Petrol,1000 cc,Manual
4322,Toyota Corolla  2022 Altis 1.6 X CVT-i for Sale,PKR 58.5 lacs,Lahore,2022,"69,000 km",Petrol,1600 cc,Automatic
4323,Honda Vezel  2015 Hybrid Z for Sale,PKR 61.5 lacs,Islamabad,2015,"127,724 km",Hybrid,1500 cc,Automatic
4324,Honda N Wgn  2022 Custom for Sale,PKR 37.49 lacs,Islamabad,2022,"47,807 km",Petrol,660 cc,Automatic
4325,Hyundai Elantra  2024 GLS for Sale,PKR 69.9 lacs,Karachi,2024,"11,000 km",Petrol,2000 cc,Automatic
4326,Toyota Vitz  2004 FL 1.0 for Sale,PKR 18.5 lacs,Lahore,2004,"195,000 km",Petrol,1000 cc,Automatic
4327,Daihatsu Mira  2022 G SA III for Sale,Call,Karachi,2022,"6,300 km",Petrol,660 cc,Automatic
4328,Honda City 5th (GM2) Generation 2012 1.3 i-VTEC for Sale,PKR 26 lacs,Islamabad,2012,"216,050 km",Petrol,1300 cc,Manual
4329,Daihatsu Move  2014 Custom X for Sale,PKR 25.5 lacs,Rawalpindi,2014,"174,511 km",Petrol,660 cc,Automatic
4330,Daihatsu Rocky  2019 1.0 R TC for Sale,PKR 51.5 lacs,Islamabad,2019,"83,685 km",Petrol,1000 cc,Automatic
4331,Suzuki Mehran  2010 VXR for Sale,PKR 7 lacs,Rawalpindi,2010,"73,964 km",Petrol,800 cc,Manual
4332,Isuzu D-Max  2022 V-Cross Automatic 3.0 for Sale,PKR 1.06 crore,Islamabad,2022,"23,969 km",Diesel,3000 cc,Automatic
4333,Honda Civic Reborn 2009 VTi Oriel 1.8 i-VTEC for Sale,PKR 40 lacs,Rawalpindi,2009,"83,621 km",Petrol,1800 cc,Manual
4334,Toyota Corolla  2015 Altis Grande CVT-i 1.8 for Sale,PKR 42 lacs,Islamabad,2015,"201,534 km",Petrol,1800 cc,Automatic
4335,Haval H6  2024 HEV for Sale,PKR 1.2 crore,Islamabad,2024,"29,264 km",Hybrid,1500 cc,Automatic
4336,Honda Vezel  2015 Hybrid Z Style Edition for Sale,PKR 49.99 lacs,Rawalpindi,2015,"172,822 km",Hybrid,1500 cc,Automatic
4337,Toyota Yaris Hatchback  2022  for Sale,PKR 42.85 lacs,Karachi,2022,"75,000 km",Petrol,1000 cc,Automatic
4338,Honda City 5th (GM2) Generation 2013 1.3 i-VTEC Prosmatec for Sale,PKR 31 lacs,Lahore,2013,"121,000 km",Petrol,1300 cc,Automatic
4339,Toyota Yaris Sedan  2021 ATIV CVT 1.3 for Sale,PKR 39 lacs,Karachi,2021,"40,800 km",Petrol,1300 cc,Automatic
4340,Toyota Corolla  2010 GLi 1.3 VVTi for Sale,PKR 25 lacs,Nowshera,2010,"150,000 km",Petrol,1300 cc,Manual
4341,Suzuki Alto  2018 Works Edition for Sale,PKR 19.65 lacs,Lahore,2018,"33,000 km",Petrol,658 cc,Automatic
4342,Suzuki Bolan  2009 GL for Sale,PKR 7.1 lacs,Karachi,2009,"250,000 km",Petrol,800 cc,Manual
4343,Daihatsu Mira  2021 X SA lll for Sale,PKR 34 lacs,Karachi,2021,"11,000 km",Petrol,660 cc,Automatic
4344,Suzuki Mehran  2013 VX Euro II for Sale,PKR 10.8 lacs,Rawalpindi,2013,"54,000 km",Petrol,796 cc,Manual
4345,Honda City 5th (GM2) Generation 2020 Aspire Prosmatec 1.5 i-VTEC for Sale,PKR 44 lacs,Islamabad,2020,"77,000 km",Petrol,1500 cc,Automatic
4346,Suzuki Cultus  2006 VXR (CNG) for Sale,PKR 9.8 lacs,Attock,2006,"77,000 km",Petrol,1000 cc,Manual
4347,Toyota Corolla  2022 Altis 1.6 X CVT-i for Sale,PKR 58.5 lacs,Lahore,2022,"69,000 km",Petrol,1600 cc,Automatic
4348,Honda Vezel  2015 Hybrid Z for Sale,PKR 61.5 lacs,Islamabad,2015,"127,724 km",Hybrid,1500 cc,Automatic
4349,Honda N Wgn  2022 Custom for Sale,PKR 37.49 lacs,Islamabad,2022,"47,807 km",Petrol,660 cc,Automatic
4350,Hyundai Elantra  2024 GLS for Sale,PKR 69.9 lacs,Karachi,2024,"11,000 km",Petrol,2000 cc,Automatic
4351,Toyota Vitz  2004 FL 1.0 for Sale,PKR 18.5 lacs,Lahore,2004,"195,000 km",Petrol,1000 cc,Automatic
4352,Daihatsu Mira  2022 G SA III for Sale,Call,Karachi,2022,"6,300 km",Petrol,660 cc,Automatic
4353,Honda City 5th (GM2) Generation 2012 1.3 i-VTEC for Sale,PKR 26 lacs,Islamabad,2012,"216,050 km",Petrol,1300 cc,Manual
4354,Daihatsu Move  2014 Custom X for Sale,PKR 25.5 lacs,Rawalpindi,2014,"174,511 km",Petrol,660 cc,Automatic
4355,Daihatsu Rocky  2019 1.0 R TC for Sale,PKR 51.5 lacs,Islamabad,2019,"83,685 km",Petrol,1000 cc,Automatic
4356,Suzuki Mehran  2010 VXR for Sale,PKR 7 lacs,Rawalpindi,2010,"73,964 km",Petrol,800 cc,Manual
4357,Isuzu D-Max  2022 V-Cross Automatic 3.0 for Sale,PKR 1.06 crore,Islamabad,2022,"23,969 km",Diesel,3000 cc,Automatic
4358,Honda Civic Reborn 2009 VTi Oriel 1.8 i-VTEC for Sale,PKR 40 lacs,Rawalpindi,2009,"83,621 km",Petrol,1800 cc,Manual
4359,Toyota Corolla  2015 Altis Grande CVT-i 1.8 for Sale,PKR 42 lacs,Islamabad,2015,"201,534 km",Petrol,1800 cc,Automatic
4360,Haval H6  2024 HEV for Sale,PKR 1.2 crore,Islamabad,2024,"29,264 km",Hybrid,1500 cc,Automatic
4361,Honda Vezel  2015 Hybrid Z Style Edition for Sale,PKR 49.99 lacs,Rawalpindi,2015,"172,822 km",Hybrid,1500 cc,Automatic
4362,Toyota Yaris Hatchback  2022  for Sale,PKR 42.85 lacs,Karachi,2022,"75,000 km",Petrol,1000 cc,Automatic
4363,Honda City 5th (GM2) Generation 2013 1.3 i-VTEC Prosmatec for Sale,PKR 31 lacs,Lahore,2013,"121,000 km",Petrol,1300 cc,Automatic
4364,Toyota Yaris Sedan  2021 ATIV CVT 1.3 for Sale,PKR 39 lacs,Karachi,2021,"40,800 km",Petrol,1300 cc,Automatic
4365,Toyota Corolla  2010 GLi 1.3 VVTi for Sale,PKR 25 lacs,Nowshera,2010,"150,000 km",Petrol,1300 cc,Manual
4366,Suzuki Alto  2018 Works Edition for Sale,PKR 19.65 lacs,Lahore,2018,"33,000 km",Petrol,658 cc,Automatic
4367,Suzuki Bolan  2009 GL for Sale,PKR 7.1 lacs,Karachi,2009,"250,000 km",Petrol,800 cc,Manual
4368,Daihatsu Mira  2021 X SA lll for Sale,PKR 34 lacs,Karachi,2021,"11,000 km",Petrol,660 cc,Automatic
4369,Suzuki Mehran  2013 VX Euro II for Sale,PKR 10.8 lacs,Rawalpindi,2013,"54,000 km",Petrol,796 cc,Manual
4370,Honda City 5th (GM2) Generation 2020 Aspire Prosmatec 1.5 i-VTEC for Sale,PKR 44 lacs,Islamabad,2020,"77,000 km",Petrol,1500 cc,Automatic
4371,Suzuki Cultus  2006 VXR (CNG) for Sale,PKR 9.8 lacs,Attock,2006,"77,000 km",Petrol,1000 cc,Manual
4372,Toyota Corolla  2022 Altis 1.6 X CVT-i for Sale,PKR 58.5 lacs,Lahore,2022,"69,000 km",Petrol,1600 cc,Automatic
4373,Honda Vezel  2015 Hybrid Z for Sale,PKR 61.5 lacs,Islamabad,2015,"127,724 km",Hybrid,1500 cc,Automatic
4374,Honda N Wgn  2022 Custom for Sale,PKR 37.49 lacs,Islamabad,2022,"47,807 km",Petrol,660 cc,Automatic
4375,Hyundai Elantra  2024 GLS for Sale,PKR 69.9 lacs,Karachi,2024,"11,000 km",Petrol,2000 cc,Automatic
4376,Toyota Vitz  2004 FL 1.0 for Sale,PKR 18.5 lacs,Lahore,2004,"195,000 km",Petrol,1000 cc,Automatic
4377,Daihatsu Mira  2022 G SA III for Sale,Call,Karachi,2022,"6,300 km",Petrol,660 cc,Automatic
4378,Honda City 5th (GM2) Generation 2012 1.3 i-VTEC for Sale,PKR 26 lacs,Islamabad,2012,"216,050 km",Petrol,1300 cc,Manual
4379,Daihatsu Move  2014 Custom X for Sale,PKR 25.5 lacs,Rawalpindi,2014,"174,511 km",Petrol,660 cc,Automatic
4380,Daihatsu Rocky  2019 1.0 R TC for Sale,PKR 51.5 lacs,Islamabad,2019,"83,685 km",Petrol,1000 cc,Automatic
4381,Suzuki Mehran  2010 VXR for Sale,PKR 7 lacs,Rawalpindi,2010,"73,964 km",Petrol,800 cc,Manual
4382,Isuzu D-Max  2022 V-Cross Automatic 3.0 for Sale,PKR 1.06 crore,Islamabad,2022,"23,969 km",Diesel,3000 cc,Automatic
4383,Honda Civic Reborn 2009 VTi Oriel 1.8 i-VTEC for Sale,PKR 40 lacs,Rawalpindi,2009,"83,621 km",Petrol,1800 cc,Manual
4384,Toyota Corolla  2015 Altis Grande CVT-i 1.8 for Sale,PKR 42 lacs,Islamabad,2015,"201,534 km",Petrol,1800 cc,Automatic
4385,Haval H6  2024 HEV for Sale,PKR 1.2 crore,Islamabad,2024,"29,264 km",Hybrid,1500 cc,Automatic
4386,Honda Vezel  2015 Hybrid Z Style Edition for Sale,PKR 49.99 lacs,Rawalpindi,2015,"172,822 km",Hybrid,1500 cc,Automatic
4387,Toyota Yaris Hatchback  2022  for Sale,PKR 42.85 lacs,Karachi,2022,"75,000 km",Petrol,1000 cc,Automatic
4388,Honda City 5th (GM2) Generation 2013 1.3 i-VTEC Prosmatec for Sale,PKR 31 lacs,Lahore,2013,"121,000 km",Petrol,1300 cc,Automatic
4389,Toyota Yaris Sedan  2021 ATIV CVT 1.3 for Sale,PKR 39 lacs,Karachi,2021,"40,800 km",Petrol,1300 cc,Automatic
4390,Toyota Corolla  2010 GLi 1.3 VVTi for Sale,PKR 25 lacs,Nowshera,2010,"150,000 km",Petrol,1300 cc,Manual
4391,Suzuki Alto  2018 Works Edition for Sale,PKR 19.65 lacs,Lahore,2018,"33,000 km",Petrol,658 cc,Automatic
4392,Suzuki Bolan  2009 GL for Sale,PKR 7.1 lacs,Karachi,2009,"250,000 km",Petrol,800 cc,Manual
4393,Daihatsu Mira  2021 X SA lll for Sale,PKR 34 lacs,Karachi,2021,"11,000 km",Petrol,660 cc,Automatic
4394,Suzuki Mehran  2013 VX Euro II for Sale,PKR 10.8 lacs,Rawalpindi,2013,"54,000 km",Petrol,796 cc,Manual
4395,Honda City 5th (GM2) Generation 2020 Aspire Prosmatec 1.5 i-VTEC for Sale,PKR 44 lacs,Islamabad,2020,"77,000 km",Petrol,1500 cc,Automatic
4396,Suzuki Cultus  2006 VXR (CNG) for Sale,PKR 9.8 lacs,Attock,2006,"77,000 km",Petrol,1000 cc,Manual
4397,Toyota Corolla  2022 Altis 1.6 X CVT-i for Sale,PKR 58.5 lacs,Lahore,2022,"69,000 km",Petrol,1600 cc,Automatic
4398,Honda Vezel  2015 Hybrid Z for Sale,PKR 61.5 lacs,Islamabad,2015,"127,724 km",Hybrid,1500 cc,Automatic
4399,Honda N Wgn  2022 Custom for Sale,PKR 37.49 lacs,Islamabad,2022,"47,807 km",Petrol,660 cc,Automatic
4400,Hyundai Elantra  2024 GLS for Sale,PKR 69.9 lacs,Karachi,2024,"11,000 km",Petrol,2000 cc,Automatic
4401,Toyota Vitz  2004 FL 1.0 for Sale,PKR 18.5 lacs,Lahore,2004,"195,000 km",Petrol,1000 cc,Automatic
4402,Daihatsu Mira  2022 G SA III for Sale,Call,Karachi,2022,"6,300 km",Petrol,660 cc,Automatic
4403,Honda City 5th (GM2) Generation 2012 1.3 i-VTEC for Sale,PKR 26 lacs,Islamabad,2012,"216,050 km",Petrol,1300 cc,Manual
4404,Daihatsu Move  2014 Custom X for Sale,PKR 25.5 lacs,Rawalpindi,2014,"174,511 km",Petrol,660 cc,Automatic
4405,Daihatsu Rocky  2019 1.0 R TC for Sale,PKR 51.5 lacs,Islamabad,2019,"83,685 km",Petrol,1000 cc,Automatic
4406,Suzuki Mehran  2010 VXR for Sale,PKR 7 lacs,Rawalpindi,2010,"73,964 km",Petrol,800 cc,Manual
4407,Isuzu D-Max  2022 V-Cross Automatic 3.0 for Sale,PKR 1.06 crore,Islamabad,2022,"23,969 km",Diesel,3000 cc,Automatic
4408,Honda Civic Reborn 2009 VTi Oriel 1.8 i-VTEC for Sale,PKR 40 lacs,Rawalpindi,2009,"83,621 km",Petrol,1800 cc,Manual
4409,Toyota Corolla  2015 Altis Grande CVT-i 1.8 for Sale,PKR 42 lacs,Islamabad,2015,"201,534 km",Petrol,1800 cc,Automatic
4410,Haval H6  2024 HEV for Sale,PKR 1.2 crore,Islamabad,2024,"29,264 km",Hybrid,1500 cc,Automatic
4411,Honda Vezel  2015 Hybrid Z Style Edition for Sale,PKR 49.99 lacs,Rawalpindi,2015,"172,822 km",Hybrid,1500 cc,Automatic
4412,Toyota Yaris Hatchback  2022  for Sale,PKR 42.85 lacs,Karachi,2022,"75,000 km",Petrol,1000 cc,Automatic
4413,Honda City 5th (GM2) Generation 2013 1.3 i-VTEC Prosmatec for Sale,PKR 31 lacs,Lahore,2013,"121,000 km",Petrol,1300 cc,Automatic
4414,Toyota Yaris Sedan  2021 ATIV CVT 1.3 for Sale,PKR 39 lacs,Karachi,2021,"40,800 km",Petrol,1300 cc,Automatic
4415,Toyota Corolla  2010 GLi 1.3 VVTi for Sale,PKR 25 lacs,Nowshera,2010,"150,000 km",Petrol,1300 cc,Manual
4416,Suzuki Alto  2018 Works Edition for Sale,PKR 19.65 lacs,Lahore,2018,"33,000 km",Petrol,658 cc,Automatic
4417,Suzuki Bolan  2009 GL for Sale,PKR 7.1 lacs,Karachi,2009,"250,000 km",Petrol,800 cc,Manual
4418,Daihatsu Mira  2021 X SA lll for Sale,PKR 34 lacs,Karachi,2021,"11,000 km",Petrol,660 cc,Automatic
4419,Suzuki Mehran  2013 VX Euro II for Sale,PKR 10.8 lacs,Rawalpindi,2013,"54,000 km",Petrol,796 cc,Manual
4420,Honda City 5th (GM2) Generation 2020 Aspire Prosmatec 1.5 i-VTEC for Sale,PKR 44 lacs,Islamabad,2020,"77,000 km",Petrol,1500 cc,Automatic
4421,Suzuki Cultus  2006 VXR (CNG) for Sale,PKR 9.8 lacs,Attock,2006,"77,000 km",Petrol,1000 cc,Manual
4422,Toyota Corolla  2022 Altis 1.6 X CVT-i for Sale,PKR 58.5 lacs,Lahore,2022,"69,000 km",Petrol,1600 cc,Automatic
4423,Honda Vezel  2015 Hybrid Z for Sale,PKR 61.5 lacs,Islamabad,2015,"127,724 km",Hybrid,1500 cc,Automatic
4424,Honda N Wgn  2022 Custom for Sale,PKR 37.49 lacs,Islamabad,2022,"47,807 km",Petrol,660 cc,Automatic
4425,Hyundai Elantra  2024 GLS for Sale,PKR 69.9 lacs,Karachi,2024,"11,000 km",Petrol,2000 cc,Automatic
4426,Toyota Vitz  2004 FL 1.0 for Sale,PKR 18.5 lacs,Lahore,2004,"195,000 km",Petrol,1000 cc,Automatic
4427,Daihatsu Mira  2022 G SA III for Sale,Call,Karachi,2022,"6,300 km",Petrol,660 cc,Automatic
4428,Honda City 5th (GM2) Generation 2012 1.3 i-VTEC for Sale,PKR 26 lacs,Islamabad,2012,"216,050 km",Petrol,1300 cc,Manual
4429,Daihatsu Move  2014 Custom X for Sale,PKR 25.5 lacs,Rawalpindi,2014,"174,511 km",Petrol,660 cc,Automatic
4430,Daihatsu Rocky  2019 1.0 R TC for Sale,PKR 51.5 lacs,Islamabad,2019,"83,685 km",Petrol,1000 cc,Automatic
4431,Suzuki Mehran  2010 VXR for Sale,PKR 7 lacs,Rawalpindi,2010,"73,964 km",Petrol,800 cc,Manual
4432,Isuzu D-Max  2022 V-Cross Automatic 3.0 for Sale,PKR 1.06 crore,Islamabad,2022,"23,969 km",Diesel,3000 cc,Automatic
4433,Honda Civic Reborn 2009 VTi Oriel 1.8 i-VTEC for Sale,PKR 40 lacs,Rawalpindi,2009,"83,621 km",Petrol,1800 cc,Manual
4434,Toyota Corolla  2015 Altis Grande CVT-i 1.8 for Sale,PKR 42 lacs,Islamabad,2015,"201,534 km",Petrol,1800 cc,Automatic
4435,Haval H6  2024 HEV for Sale,PKR 1.2 crore,Islamabad,2024,"29,264 km",Hybrid,1500 cc,Automatic
4436,Honda Vezel  2015 Hybrid Z Style Edition for Sale,PKR 49.99 lacs,Rawalpindi,2015,"172,822 km",Hybrid,1500 cc,Automatic
4437,Toyota Yaris Hatchback  2022  for Sale,PKR 42.85 lacs,Karachi,2022,"75,000 km",Petrol,1000 cc,Automatic
4438,Honda City 5th (GM2) Generation 2013 1.3 i-VTEC Prosmatec for Sale,PKR 31 lacs,Lahore,2013,"121,000 km",Petrol,1300 cc,Automatic
4439,Toyota Yaris Sedan  2021 ATIV CVT 1.3 for Sale,PKR 39 lacs,Karachi,2021,"40,800 km",Petrol,1300 cc,Automatic
4440,Toyota Corolla  2010 GLi 1.3 VVTi for Sale,PKR 25 lacs,Nowshera,2010,"150,000 km",Petrol,1300 cc,Manual
4441,Suzuki Alto  2018 Works Edition for Sale,PKR 19.65 lacs,Lahore,2018,"33,000 km",Petrol,658 cc,Automatic
4442,Suzuki Bolan  2009 GL for Sale,PKR 7.1 lacs,Karachi,2009,"250,000 km",Petrol,800 cc,Manual
4443,Daihatsu Mira  2021 X SA lll for Sale,PKR 34 lacs,Karachi,2021,"11,000 km",Petrol,660 cc,Automatic
4444,Suzuki Mehran  2013 VX Euro II for Sale,PKR 10.8 lacs,Rawalpindi,2013,"54,000 km",Petrol,796 cc,Manual
4445,Honda City 5th (GM2) Generation 2020 Aspire Prosmatec 1.5 i-VTEC for Sale,PKR 44 lacs,Islamabad,2020,"77,000 km",Petrol,1500 cc,Automatic
4446,Suzuki Cultus  2006 VXR (CNG) for Sale,PKR 9.8 lacs,Attock,2006,"77,000 km",Petrol,1000 cc,Manual
4447,Toyota Corolla  2022 Altis 1.6 X CVT-i for Sale,PKR 58.5 lacs,Lahore,2022,"69,000 km",Petrol,1600 cc,Automatic
4448,Honda Vezel  2015 Hybrid Z for Sale,PKR 61.5 lacs,Islamabad,2015,"127,724 km",Hybrid,1500 cc,Automatic
4449,Honda N Wgn  2022 Custom for Sale,PKR 37.49 lacs,Islamabad,2022,"47,807 km",Petrol,660 cc,Automatic
4450,Hyundai Elantra  2024 GLS for Sale,PKR 69.9 lacs,Karachi,2024,"11,000 km",Petrol,2000 cc,Automatic
4451,Toyota Vitz  2004 FL 1.0 for Sale,PKR 18.5 lacs,Lahore,2004,"195,000 km",Petrol,1000 cc,Automatic
4452,Daihatsu Mira  2022 G SA III for Sale,Call,Karachi,2022,"6,300 km",Petrol,660 cc,Automatic
4453,Honda City 5th (GM2) Generation 2012 1.3 i-VTEC for Sale,PKR 26 lacs,Islamabad,2012,"216,050 km",Petrol,1300 cc,Manual
4454,Daihatsu Move  2014 Custom X for Sale,PKR 25.5 lacs,Rawalpindi,2014,"174,511 km",Petrol,660 cc,Automatic
4455,Daihatsu Rocky  2019 1.0 R TC for Sale,PKR 51.5 lacs,Islamabad,2019,"83,685 km",Petrol,1000 cc,Automatic
4456,Suzuki Mehran  2010 VXR for Sale,PKR 7 lacs,Rawalpindi,2010,"73,964 km",Petrol,800 cc,Manual
4457,Isuzu D-Max  2022 V-Cross Automatic 3.0 for Sale,PKR 1.06 crore,Islamabad,2022,"23,969 km",Diesel,3000 cc,Automatic
4458,Honda Civic Reborn 2009 VTi Oriel 1.8 i-VTEC for Sale,PKR 40 lacs,Rawalpindi,2009,"83,621 km",Petrol,1800 cc,Manual
4459,Toyota Corolla  2015 Altis Grande CVT-i 1.8 for Sale,PKR 42 lacs,Islamabad,2015,"201,534 km",Petrol,1800 cc,Automatic
4460,Haval H6  2024 HEV for Sale,PKR 1.2 crore,Islamabad,2024,"29,264 km",Hybrid,1500 cc,Automatic
4461,Honda Vezel  2015 Hybrid Z Style Edition for Sale,PKR 49.99 lacs,Rawalpindi,2015,"172,822 km",Hybrid,1500 cc,Automatic
4462,Toyota Yaris Hatchback  2022  for Sale,PKR 42.85 lacs,Karachi,2022,"75,000 km",Petrol,1000 cc,Automatic
4463,Honda City 5th (GM2) Generation 2013 1.3 i-VTEC Prosmatec for Sale,PKR 31 lacs,Lahore,2013,"121,000 km",Petrol,1300 cc,Automatic
4464,Toyota Yaris Sedan  2021 ATIV CVT 1.3 for Sale,PKR 39 lacs,Karachi,2021,"40,800 km",Petrol,1300 cc,Automatic
4465,Toyota Corolla  2010 GLi 1.3 VVTi for Sale,PKR 25 lacs,Nowshera,2010,"150,000 km",Petrol,1300 cc,Manual
4466,Suzuki Alto  2018 Works Edition for Sale,PKR 19.65 lacs,Lahore,2018,"33,000 km",Petrol,658 cc,Automatic
4467,Suzuki Bolan  2009 GL for Sale,PKR 7.1 lacs,Karachi,2009,"250,000 km",Petrol,800 cc,Manual
4468,Daihatsu Mira  2021 X SA lll for Sale,PKR 34 lacs,Karachi,2021,"11,000 km",Petrol,660 cc,Automatic
4469,Suzuki Mehran  2013 VX Euro II for Sale,PKR 10.8 lacs,Rawalpindi,2013,"54,000 km",Petrol,796 cc,Manual
4470,Honda City 5th (GM2) Generation 2020 Aspire Prosmatec 1.5 i-VTEC for Sale,PKR 44 lacs,Islamabad,2020,"77,000 km",Petrol,1500 cc,Automatic
4471,Suzuki Cultus  2006 VXR (CNG) for Sale,PKR 9.8 lacs,Attock,2006,"77,000 km",Petrol,1000 cc,Manual
4472,Toyota Corolla  2022 Altis 1.6 X CVT-i for Sale,PKR 58.5 lacs,Lahore,2022,"69,000 km",Petrol,1600 cc,Automatic
4473,Honda Vezel  2015 Hybrid Z for Sale,PKR 61.5 lacs,Islamabad,2015,"127,724 km",Hybrid,1500 cc,Automatic
4474,Honda N Wgn  2022 Custom for Sale,PKR 37.49 lacs,Islamabad,2022,"47,807 km",Petrol,660 cc,Automatic
4475,Hyundai Elantra  2024 GLS for Sale,PKR 69.9 lacs,Karachi,2024,"11,000 km",Petrol,2000 cc,Automatic
4476,Toyota Vitz  2004 FL 1.0 for Sale,PKR 18.5 lacs,Lahore,2004,"195,000 km",Petrol,1000 cc,Automatic
4477,Daihatsu Mira  2022 G SA III for Sale,Call,Karachi,2022,"6,300 km",Petrol,660 cc,Automatic
4478,Honda City 5th (GM2) Generation 2012 1.3 i-VTEC for Sale,PKR 26 lacs,Islamabad,2012,"216,050 km",Petrol,1300 cc,Manual
4479,Daihatsu Move  2014 Custom X for Sale,PKR 25.5 lacs,Rawalpindi,2014,"174,511 km",Petrol,660 cc,Automatic
4480,Daihatsu Rocky  2019 1.0 R TC for Sale,PKR 51.5 lacs,Islamabad,2019,"83,685 km",Petrol,1000 cc,Automatic
4481,Suzuki Mehran  2010 VXR for Sale,PKR 7 lacs,Rawalpindi,2010,"73,964 km",Petrol,800 cc,Manual
4482,Isuzu D-Max  2022 V-Cross Automatic 3.0 for Sale,PKR 1.06 crore,Islamabad,2022,"23,969 km",Diesel,3000 cc,Automatic
4483,Honda Civic Reborn 2009 VTi Oriel 1.8 i-VTEC for Sale,PKR 40 lacs,Rawalpindi,2009,"83,621 km",Petrol,1800 cc,Manual
4484,Toyota Corolla  2015 Altis Grande CVT-i 1.8 for Sale,PKR 42 lacs,Islamabad,2015,"201,534 km",Petrol,1800 cc,Automatic
4485,Haval H6  2024 HEV for Sale,PKR 1.2 crore,Islamabad,2024,"29,264 km",Hybrid,1500 cc,Automatic
4486,Honda Vezel  2015 Hybrid Z Style Edition for Sale,PKR 49.99 lacs,Rawalpindi,2015,"172,822 km",Hybrid,1500 cc,Automatic
4487,Toyota Yaris Hatchback  2022  for Sale,PKR 42.85 lacs,Karachi,2022,"75,000 km",Petrol,1000 cc,Automatic
4488,Honda City 5th (GM2) Generation 2013 1.3 i-VTEC Prosmatec for Sale,PKR 31 lacs,Lahore,2013,"121,000 km",Petrol,1300 cc,Automatic
4489,Toyota Yaris Sedan  2021 ATIV CVT 1.3 for Sale,PKR 39 lacs,Karachi,2021,"40,800 km",Petrol,1300 cc,Automatic
4490,Toyota Corolla  2010 GLi 1.3 VVTi for Sale,PKR 25 lacs,Nowshera,2010,"150,000 km",Petrol,1300 cc,Manual
4491,Suzuki Alto  2018 Works Edition for Sale,PKR 19.65 lacs,Lahore,2018,"33,000 km",Petrol,658 cc,Automatic
4492,Suzuki Bolan  2009 GL for Sale,PKR 7.1 lacs,Karachi,2009,"250,000 km",Petrol,800 cc,Manual
4493,Daihatsu Mira  2021 X SA lll for Sale,PKR 34 lacs,Karachi,2021,"11,000 km",Petrol,660 cc,Automatic
4494,Suzuki Mehran  2013 VX Euro II for Sale,PKR 10.8 lacs,Rawalpindi,2013,"54,000 km",Petrol,796 cc,Manual
